PRODUCTNAME,ISSTOPPED,RE06 # Transaction,RE01 # items_sold,Total Stock on hand
P/S BCDR Long To Mem Mai,0,55,61,5
Urgo Mouth Ulcers,0,55,55,8
Wondefarm Tra Bi Dao It Duong 310ml (Thung/ 24 Lon),0,55,60,12
Celebrex 200mg,0,54,303,57
Diamicron MR Tab 30mg (2 Vi x 30 Vien),0,54,1474,50
Durex Kingtex 3c,0,54,60,9
Nitromint 2.6mg,0,54,1277,53
Nuoc Giai Ruou Condition75ml,0,54,106,20
Pharmacity Khau trang mau xanh la cay (Goi/10 Cai),0,54,56,45
Poca Khoai Tay Chien Wavy Bo Manhattan 54g,0,54,64,8
PUFFME Bong Tay Trang Ep Canh Bien 5*6cm/80M,0,54,56,1
Vitamin C Stada 1g (Sủi) H16v,0,54,171,22
Aspirin 81mg - DMC,0,53,2000,0
Cetirizin 10mg - DMC,0,53,554,146
Dibetalic kem,0,53,69,6
Jomi Phim Tham Dau Nhat Ban 70T,0,53,55,6
Kremil-S (10vi x 10vien),0,53,391,109
Vitamin A-D (Cty Phuc Vinh - H100v),0,53,351,145
Wondefarm Tra Bi Dao 280ml (Thung/ 24 Chai),0,53,63,11
Xisat Hong 75ml,0,53,52,3
Zecuf siro,0,53,54,5
Colgate KDR Optic White 100g,0,52,60,11
Gillette Dao cao can vang (goi 2cay)X2X12X20(04.13)SBD,0,52,66,5
PMS - Imedroxil 500mg (Hop12vien),0,52,264,46
Poca Snack Party Sweet Corn 38g,0,52,57,4
Rutin-Vitamin C (Hop/100 vien),0,52,1603,689
Salonpas gel,0,52,57,1
Selsun Dau goi Tri Gau 1.8% 100ml,0,52,56,7
Esomeprazol 20mg - Stada,0,51,320,0
Exomuc 200mg,0,51,317,49
Ich Nhi Siro Ho Cam Nam Duoc 80ml,1,51,55,1
Lactacyd Revitalize 60Ml,0,51,53,0
Listerine NSM Cool Mint 750ml,0,51,58,5
Maalox (4vi x 12vien),0,51,675,93
Mayan Lot Mui 4 Mieng,0,51,54,7
Nizoral Shampoo Sol 50ml,0,51,54,4
Vinamilk Sua Tuoi Khong Duong 220ml (Thung/48 Bich),1,51,135,0
Bach Tuyet Bong Y Te 5g,0,50,65,24
Coke Zero Lon Cao 330ml (Thung/24Lon),0,50,62,16
CONS Bocalex Multi Vien sui DHG (Tuyp 20 vien),0,50,1280,40
Dorkbua Brand Banh Que Tom 55g,0,50,61,10
Eucalyptin (10Vi x 10Vien),0,50,370,126
Euvifast 180mg,1,50,190,0
Glanax 500 (H/10Vien),0,50,260,10
Ibudolor 200 - Stada (10Vi x 10Vien),0,50,238,152
Son Huong Gang Tay Y Te Size S,0,50,700,0
Stilux - 60,0,50,1006,194
Sucralfate 2x10vien,0,50,285,35
"Taokaenoi Big Roll Vi Truyen Thong 3,6g (1 Thung/144 Goi)",0,50,116,44
Teppy Nuoc Cam Ep 327ml (Thung/24 Chai),0,50,59,17
"Theralene 5mg (2 Vi, 20 Vien)",0,50,262,56
ALP Keo Nhau MT Bac Ha 16c/Hop,0,49,56,24
Colgate KDR Max Fresh Xanh Duong 140g,0,49,50,10
Enterogemina Capsules,0,49,193,12
Ferrovit (5Vi x 10Vien),0,49,1063,87
Gynofar 250ml,0,49,54,3
Pulmoll Keo Ngam Eucalytus Menthol 50g/Hop,0,49,49,6
Strepsils Throat irritation & cough (Hop/2vi/12vien),0,49,912,72
Cao Ich Mau siro - OPC,0,48,49,1
Coldi-B,0,48,50,2
Durex Play Gel Tube 50ml,0,48,45,7
Hongsamjin Gold Nuoc Hong Sam 100ml,0,48,158,19
Lactacyd Soft & Silky 150ml,0,48,50,7
MegaFlex,0,48,51,3
Que Thu Rung Trung,0,48,175,18
Salbumol 2mg - Nadypha,0,48,363,14
Selsun Dau Goi 5ml,0,48,351,10
Solmux Broncho Cap 2/500mg (vien),1,48,300,0
Strepsils Orange & Vita C (vi),0,48,768,144
Bao Thach Bong Y Te 25g,0,47,45,14
Bon Ami Banh Cookies Classic Nho 80gr (Thung/30 Cay),0,47,59,11
