PRODUCTNAME,ISSTOPPED,RE06 # Transaction,RE01 # items_sold,Total Stock on hand
Nivea SRM Nam Sang Da 100g,0,13,14,2
Nivea XKM Serum Trang Min 100ml,0,13,13,5
Okamoto Bao Cao Su Skinless Skin Vanilla (Hop/3 Cai),0,13,13,15
Omega 3-6-9 Pharmekal,0,13,13,2
Oxy gia OPC (60ml/Chai),0,13,27,56
Oxy SRM Kiem Soat Nhon Oil Control 100g,0,13,13,3
P/S BCDR Bao Ve 123 Bo 3,1,13,16,0
P/S KDR Ngua Sau Rang 3 Tac Dong 180g,0,13,14,0
PH Care DDVS Phu Nu  Huong Chanh Tuoi Mat (shower Splash) 15,0,13,15,5
POP- PUF Bong Tay Trang Ep Bien 2 CD 5*6cm/100M,1,13,13,0
Rabe-G (3Vi x 10Vien),0,13,84,6
Rejoice DG Sieu Muot 170ml,0,13,11,8
Richoco Banh Xop Chocolate 17 G,0,13,47,33
Romano DG Classic 180g,0,13,13,2
Romano Tam Goi 2in1 Classic Xanh La 180g,0,13,9,3
Safeguard Xa Bong Cuc Hong 135g,0,13,14,6
Saforelle 250ml - Rua phu khoa,0,13,13,4
Silvirin 20g,0,13,14,2
Son Huong - Dung Cu Cat Thuoc,0,13,13,8
Subtyl (Chai/20vien),0,13,240,20
Sunplay Skinaqua UV Moisture Milk 30g,0,13,16,4
Taokaenoi Big Bang Vi Truyen Thong 6g (1 Thung/240 Goi),1,13,19,0
Taokaenoi Big Sheet Vi Truyen Thong 4g (1 Thung/120 Goi),0,13,26,34
Teen Derm Gel K 30ml - ISIS Pharma,0,13,13,2
Thai Duong Kem tri Nut Got Chan Got Sen 20g,0,13,11,2
Transamin 500mg,0,13,100,0
Trident Gum Original Flavor 18pcs,0,13,13,4
Trident Gum Watermelon Twist 18pcs,0,13,14,4
Trimetazidin Stada 20mg (2Vi x 30Vien),0,13,840,120
Vaseline SDT Yen Mach 250ml,0,13,14,2
Vfresh Nuoc Dau Sua 250ml (Thung/24 Hop),1,13,16,0
Viagra Tabs 50mg (Hop/4 Vien),0,13,25,4
Vigamox Dro 0.5% 5Ml,0,13,11,2
Yomost Sua Chua Uong Dau 170ml(Thung/48Hop),1,13,17,0
Zokozen for Kids (H/20Goi),0,13,76,57
Acnes SRM Vitamin Cleanser 100g,0,12,12,2
Aisen Non Tam Hoa SC006,0,12,13,5
Asahi Keo Ngam Mintia Nho Tim 7g (Goi/10 Hop),0,12,13,2
Atussin Siro Ho 60ml,0,12,12,3
Beprosone,0,12,13,2
Betaloc ZOK Tab 25mg,0,12,168,14
Cartiligins UBB 100vien,0,12,13,1
Cephalexin 250mg - Vidipha (10x10),0,12,65,235
Close up KDR Kim Cuong 100g,0,12,14,10
Coast XBC Classic Scent Refreshing Deodorant Soap 64 x 113g,0,12,13,15
Coltramyl 4mg (H/12v),0,12,109,24
"Combivent 3mg + 0,52mgx2,5ml",0,12,60,20
CONS Bidanmi Mat Na Duong Da Vitamin Essential 25g,0,12,11,32
CONS Coko Mat na Nanocell Brightup Duong Trang Da 23g,0,12,14,19
CONS NattoEnzym (3Vi x 10Vien),0,12,360,90
CONS Toshiba Pin Alkaline 3A LR03GCNN BP-2(VN) 2 vien/vi,0,12,17,4
CONS Tra Slim V Huong Cuc (Hop/30 tui),1,12,14,0
Dabo Kem Chong Nang SPF 50 PA++ 70ml,0,12,12,4
Dove Kem Xa Duong Toc Bong Benh 335g,0,12,12,3
Drosperin 20 Coated Tab (Mau Hong),0,12,12,3
Efferalgan Sac. 80mg (goi),0,12,76,0
EUXAMUS 200 (Goi),1,12,79,
Fruiser ST Sua De & Ngoc Trai 1000ml,0,12,13,3
Fullfish Snack Ca Vi BBQ 21g (Thung/36 Goi),1,12,13,0
Gillette Bot Cao Rau Huong Bac Ha 175g,0,12,12,4
Gillette Dao Cao GL Mach 3,0,12,12,4
Gum Trai Cay 450g (Hop30cay),1,12,30,
Johnson Baby ST Chua Sua Vitamin A&E 500ml,0,12,12,4
Lactacyd Feminine Hygiene 250ml,0,12,12,1
Ladysoft Premium (xanh) 250ml,0,12,13,3
Let Green Khan An Cao Cap 23*23cm /100 to/40goi*thung,0,12,13,7
Lifebouy Dau Goi Toc Mem Muot 320g,1,12,12,1
Lipzo BCDR Kid S2,0,12,14,5
Loreal Kem WP Laser Day SPF 19 Reno 13-50ml,1,12,12,0
MBL Tay Trang Mat&Moi 150 ml,0,12,12,2
Micardis Tab. 40mg,0,12,97,53
Mountain Dew Nuoc Co Gaz 500ml (Thung/24 Chai),1,12,12,0
Nghia Giua Giay 402B,0,12,12,4
Nifedipin Stada 10mg,0,12,30,0
Nivea LKM Nu Black&White 50ml,0,12,13,6
Nivea Serum Duong The Trang Da Ban Dem 200ml,0,12,12,4
Nivea SRM Khoang Chat Trang Da 100g,0,12,12,3
Nivea XKM Nam Black& White 150ml,0,12,12,3
NUNA Khan Uot Em Be 30 Mieng/ Goi,0,12,12,9
Oishi Snack Bi Do Thit Nuong 45g/25,0,12,13,3
Okamoto Bao Cao Su Skinless Skin Strawberry (Hop/3 cai),0,12,15,8
Olive Dau Xa Romatic 250ml,0,12,12,5
Orion's Keo Ngam Mini Viatmin C 9g (Goi/30 Hu),0,12,12,7
Otiv (Hop/30Vien),0,12,15,2
Pantene DG Ngan rung toc 170g,0,12,12,3
PEI TIEN Banh DD Dau Nanh 12 Loai Ngu Coc 180g,0,12,12,3
Perfecti Big Babol To Mau 18g (Hop/ 12 Tuyp),0,12,12,16
Plavix 75mg (Hop 14vien),0,12,95,31
Pond's Kem Duong T.Da Tao Nen BB KTV25/12,0,12,12,6
Pond's SRM Nam Kiem Soat Nhon 100g,0,12,12,2
Pringles Khoai Tay Chien Sour Cream & Onion 150g,0,12,12,3
Purite By Provence ST Olive Body 500ml,1,12,13,
Ritz Crackers Krekers Cheese 118g,0,12,12,0
Sangjung Pulp Khan giay uot Grace 100s/goi,0,12,12,4
Scar Z Solution Kem Tri Lien Seo 12g,0,12,12,1
Slide Khoai Tay Chien BBQ 75g,0,12,12,4
Star benko,0,12,12,2
Star cough relife,0,12,13,3
Sterimar Adults Dung Dich Xit Mui 50ml - đã đổi sang mã mới,1,12,12,0
Sunplay Skinaqua Silky White Essense SPF50+ (25g),0,12,12,6
The cao vang khuyen mai,0,12,24,
Toplexil siro 90ml,0,12,13,1
Tottri,0,12,13,3
Trang Phuc Linh,0,12,25,19
Xylitol Cool 145g (hop),0,12,13,2
Xylitol Gum Strawberry 58g (H/40 vien),0,12,13,5
"Acnes Dung Dich Tao Bot , Ngan Ngua Mun -Foaming Wash 150ml",0,11,11,3
Agi Binh Sua Premium Cao Cap 120ml,0,11,10,1
An Bao Dung Dich Tri Lien Da Muoi Dot Cho Be 12ml,1,11,11,0
Arcoxia Tab 60mg,0,11,63,35
Atopiclair Cream Dac Tri Viem Da 40ml,0,11,12,1
Betadine Vaginal Sol 125ml (Douche),0,11,9,2
Bibonlax Baby,0,11,31,0
Biore SRM Khang Khuan 50g,0,11,11,3
Carefree BVS STHN 20M,1,11,12,8
Cimetidin 400mg - Stada,0,11,81,20
Ciprofloxacin 0.3% Nho Mat - Cty 3/2,0,11,13,2
Clear Men DG Sach Sau 370g,0,11,11,4
Coke 250ml (Thung/24 Lon),1,11,24,0
Colgate BCDR 360 Charcoal Gold,1,11,11,0
Colgate BCDR Spider Men,0,11,14,7
Durex Invisible 10s,0,11,11,4
Durex Sensation 3c,1,11,10,0
Ellips Vitamin Duong Toc Hair Treatment 6v*2vi/hop,0,11,12,2
Erythromycin 500mg MKP (Hop/100 vien),0,11,85,15
Esomeprazol 40mg - Stada,0,11,140,0
Farzicol Siro,0,11,11,1
Fucidin H Cream 15g,0,11,9,
Garlic Oil Tue Linh,0,11,16,3
Gatsby Wax Toc 2015 - P&S Do 25g (Loc/6 Hu),0,11,11,5
Gillette Luoi dcao GL Vector 4 1CSX300ITX4X6X50(04.13),0,11,11,0
Hapacol 500mg sui (H/4vix4vien),1,11,48,0
Hazeline SDT TR.Da Dem Dau Tam 370ml,1,11,11,3
Hidrasec Infants Pwd 10mg,0,11,48,16
Ich Nhi Siro An Ngon Nam Duoc (Chai 100ml),0,11,11,3
Johnson Baby Sua Tam Chua Gao Sua 1000ml,0,11,9,4
Johnson Baby Tam Goi Toan Than 100ml,0,11,11,3
Jordan BCDR Target Sensitive,0,11,12,0
Lactacyd Feminine Hygiene 60ml,0,11,11,7
Lamisil Cream 5g,0,11,14,3
Le Fruit Nuoc Ep Chanh Day 260ml (Thung/12 Chai),0,11,12,8
Limzer 20mg(3x10),1,11,60,0
Lipanthyl supra Tab 160mg,0,11,208,60
Loreal SRM DEX WP Foam R10 100ml,0,11,11,0
Lotte Toppo Banh Que Nhan Socola 40g,1,11,12,0
LUX ST Magical Spell 200g,1,11,11,2
Magic Cream 108g,0,11,13,0
Masculan BCS Long Pleasure (H/3Cai),0,11,11,6
Metformin Stada 500mg (3Vi x 10Vien),0,11,540,30
Metformin Stada 850mg (4Vi x 15Vien),0,11,361,120
Mobi 200 - Payoo,0,11,11,2
Neurontin Cap 300mg,0,11,115,35
Nexcare Tri Mun 30M,1,11,11,0
Nghia Nhip N406,0,11,11,5
Niva Tam Bong AZ3 (Hop/ 200 Que),0,11,18,2
Nivea LKM Nu Trang Da Mo Vet Tham Extra 25ml,0,11,11,7
Nivea LKM Serum Trang Min 40ml,0,11,11,8
Oishi Snack Hanh 45g/25,0,11,11,8
Okamura Tam Chi Nha Khoa 70cay/ Hop,0,11,11,2
Olive Dau Goi Romatic 250ml,0,11,11,4
Oral Clean BCDR Jungle King Soft,0,11,12,5
Orion's Keo Ngam Mini Sour 9g (Goi/30 Hu),0,11,11,3
Orion's Keo Ngam Mini Vi Sua Chua 9g (Goi/30 Hu),0,11,11,3
Perfect Purity Sua Tam Va Goi Tre Em KD-25 354ml,0,11,11,4
Perfecti Mentos Pure Fresh Blister 11g (Hop/15 Vi),1,11,15,0
Perfecti Mentos Pure Fresh Huong Freshmint Vial 57g (Loc/ 6,1,11,12,0
PH Care DDVS Phu Nu  Bac Ha Mat Lanh (Cool wind) 60ml,0,11,16,0
Pond's Kem Duong Trang Hong Tinh Khiet Ngay 50g,0,11,11,3
Pringles Khoai Tay Chien Sour Cream & Onion 42g,0,11,12,3
Prostarin,0,11,15,0
Rhinocort Aqua Spr 64mcg,0,11,11,1
Saforelle Baby 250ml,0,11,9,3
"Sali  10 Perfect Kem Tri Kho Da , Nut Got Chan 30g",1,11,12,0
Son Huong -Ro Luoi Dong Pha Hop Da,1,11,30,0
Suave Sap KM Sweet Pea Violet 39gr,0,11,11,4
Sunplay Super Cool SPF50+,0,11,11,6
Sunsilk DG Ong Muot Rang Ngoi 320g,0,11,11,3
Trang Vi Khang (6 Hop nho/ Hop Lon),0,11,108,84
Viem Khop Tam Binh,0,11,12,2
VIETTEL 100,0,11,15,0
Vina 100 - Payoo,0,11,10,3
Vina tra truoc 20 - Topup,0,11,12,-12
Vina tra truoc 50 - Topup,0,11,11,-11
Vrohto Kid,0,11,11,2
Wrigley Extra Dau Tay 56g,0,11,13,5
Y Lang Dau Goi Dau Tri Chi 100ml,0,11,14,0
ACEFALGAN 150 (Goi),1,10,40,40
Acefalgan Codein,1,10,48,0
Acnotin 20,0,10,164,46
Albendazol Stada 400mg,0,10,21,21
Ancesil Silicone Scar Gel 10g,1,10,10,0
Azithromycin 100 (H/24Goi),0,10,86,8
Bach Tuyet Bong Vien Merilynn 80g,0,10,14,2
Banana Boat Gel Duong Da Lo Hoi 90ml,0,10,10,4
Bao Thach Bang Thun Trang 3 Moc (Giong QM 3),0,10,26,4
Bao Thach Bong Vien Tiet Trung 50g,0,10,10,0
Bon Ami Banh Cookies Classic Bơ 80gr (Thung/30 Cay),0,10,13,9
Chophytol Artichaut,0,10,1800,360
Clarithromycin 250mg - Stada,0,10,51,29
Clear Men DG Mat Lanh Bac Ha 180g,0,10,10,6
Codatux (Chai),0,10,11,2
CONS Tra Slim V Huong Lai (Hop/30 tui),1,10,12,0
Cotrim - Stada,0,10,100,0
Cream-O Banh quy kem Choco 85g*24cay/thung,0,10,10,
Dabo SRM Tinh Chat Tra Xanh 3 IN 1 180ml,0,10,10,3
Dau Gio Axe Brand 10ml,0,10,13,2
Diacerein - Vidipha,0,10,56,34
Double Rich Duong Toc Ong Muot 120ml (Thung/48 Chai),0,10,10,5
DOVE DG Phuc hoi hu ton 340g,0,10,6,3
Durex Strawberry 3c,1,10,10,0
Dutch Lady Sua Tiet Trung 20 DCTY Khong Duong 180ml (Thung/4,1,10,21,0
Enchantuer LKM Trang Charming Vang 20ml,0,10,10,9
"Enpovid A,D (10Vi x 10Vien)",0,10,165,35
Entero-caps DMC,0,10,29,1
Essentiale Forte (Hop 5Vi x 10Vien),0,10,300,50
EUVIXIM 50 (Goi),1,10,48,0
Faz,1,10,15,0
Felodipin Stada 5mg retard (10 Vi x 10 Vien),1,10,459,241
Fruiser ST Sua De Firming 1000ml,0,10,11,1
Furosemide 40mg - STADA,0,10,50,0
Gatsby Wax Tao Kieu Toc Ultimatte& Shaggy 75G,0,10,12,3
Glucosamine 1500mg UBB,0,10,11,0
Green Cross Gel Huong dua tao 100ml,0,10,18,6
Green Cross Xit RT Tra Xanh 70ml,0,10,10,8
H&S Bac Ha 6G(10+2)x60(6.15),0,10,61,14
Humer tuyp,0,10,9,4
Hydrite Unflavor Sac (goi),1,10,60,0
Johnson Baby Nuoc Hoa Em Be Huong Ngay He 125ml,0,10,10,0
Johnson Baby Phan Rom Say Vang Powder Prickly Heat 200g,0,10,10,3
Kin Gingival NSM 250ml,0,10,8,0
Kun Sua It Duong 180ml (Thung/48 Hop),1,10,18,
LIC,0,10,10,2
Lifebuoy NRT Cho Lam Bep 500g,0,10,10,3
Lifebuoy ST Mat Lanh Sang Khoai 250g,0,10,10,0
Lipice Sheer Color Son Duong Moi Natural 2g,0,10,10,6
Lipzo BCDR Ruby Charcoal,0,10,10,5
Listerine NSM Natural Greentea 250ml,1,10,12,0
Listerine Total Care 250ml,0,10,12,6
MBL Son Mau Color Show 205 Do Cam 3.9g,1,10,6,0
MBL VEX MAGNUM WP BLACK,0,10,10,6
Medxil 100mg (Hop/ 20 Goi),0,10,40,
Neocin,0,10,10,2
Nivea DG Bun Khoang Tri Gau 180ml,0,10,10,2
Nivea Kem Duong Lam Mem Da 50ml,1,10,11,2
Nivea LKM Nam Black&White 50ml,0,10,10,2
Nivea Nuoc Tay Trang Sang Da 200ml 86687,0,10,10,9
Obimin Plus Cap H30v (6vi x 5vien),0,10,215,55
Omron MC-246 (Nhiet ke),1,10,10,0
One Daily multivitamin,0,10,600,120
Oracortia 1g (Hop/50 Goi),0,10,12,38
Orafort 200 Tab,0,10,60,
Oral Clean BCDR Crazy Kids Soft,0,10,10,6
Oral-B BCDR Tre Em Stages 3 (5-7 tuoi)X96(10.13),1,10,7,0
Oreo Banh quy kem Socola137g,0,10,10,0
Oxy SRM Deep Wash 50g,0,10,8,2
P/S BCDR V- Cham Soc Nuou,1,10,16,0
P/S KDR Sensitive Expert 100g,0,10,10,7
Pantene DX Ngan Rung Toc 165g,0,10,10,3
Penicilin V Kali 1.000.000,0,10,93,7
Pepevit 50mg (Chai/100 Vien),0,10,139,160
Poca Snack Wavy King Crab 54g,1,10,11,0
Purite By Provence NH Dem Quyen Ru 15ml,1,10,6,
Rejoice DX Sieu Muot 320ml,0,10,10,2
Romano LKM Classic Xanh La 50ml,0,10,10,3
Sakura (Mieng dan lanh Nhat Nhat) - đã đổi sang mã mới,1,10,15,0
Slide Khoai Tay Chien Original 75g,1,10,11,1
SnB Giay Uot Tinh Khiet Hello Kitty SS237 80to/ Goi,0,10,11,2
Spivital Nutri (10vi x 10vien),0,10,900,200
Stadasone 16 (3Vi x 10Vien),0,10,30,0
Sunsilk DX Mem Muot Dieu Ky 170g,0,10,10,4
Sunsilk DX Ong Muot Rang Ngoi 170g,0,10,10,1
Taokaenoi Crispy Seaweed Vi Wasabi 15g (1 Thung/60 Goi),1,10,12,0
Tehep - B (4vi x 7vien) - Davipharm,0,10,245,63
Tenofovir 300mg - Stada,0,10,91,9
Tresemme DG Platinum Strength 170g,0,10,10,
Uveblock Kem Chong Nang SPF50 Khong Mau,0,10,8,6
Vaseline Duong Am Original 7g,0,10,10,5
Vien Nghe MEKOPHA (C/100vien),1,10,15,0
Vinamilk Probi Sua Uong Men Song Dua Gang 65ml (Loc/5 Chai),1,10,34,0
Waxed Dental Ban Chai Ke Rang SS Dang Chu L 0.8mm,1,10,11,
Wesser Nuoc Suc Rua Binh Sua Tui 500ml/Tui,0,10,11,3
Wit,0,10,10,2
Yen Viet Ngu Coc Yen Dinh Duong Tu Nhien 25gr*10,1,10,9,0
Yes Keo Ngam Cappuccino 36g (Thung/72 Hop),0,10,12,8
Yomost Sua Chua Uong Cam 170ml (Thung/48 hop),1,10,19,0
Zasinat 250mg (Hop/10 Vien) - Euvipharm,1,10,46,0
Zestril Tab 10mg,0,10,81,59
Zinnat Tab 250mg (Hop/ 10 Vien),0,10,61,4
3M Nut tai 1110,1,9,20,0
Acnes Khan Giay Uot Tay Trang Va Lau Mat 20 Mieng,0,9,10,8
Acnes SRM Baby Mud Bun Non Duong Sang 100g,0,9,9,4
Acnes SRM Oil Control Cleanser 100g,0,9,9,3
Agi Khan Uot Khong Huong 80M,0,9,11,2
Aisen Bong Tam BR290 Vang,0,9,9,1
Aisen Khan Tam Cresty BF200,0,9,10,5
Akinol (3vi x 10vien),0,9,210,60
Amaryl 2mg (3Vi x 10Vien),0,9,90,0
Ameflu Ban Ngay Siro,0,9,9,7
AnAn Giay Ve Sinh 2 Lop (Loc/2 cuon),1,9,15,0
Aquafresh KDR Fresh & Minty 100ml,0,9,9,6
ASCORBIN 250 (Vien nang),1,9,25,0
ATORVASTATIN 20 - Euvipharm,1,9,125,5
Axe XKM Toan Than Apollo 150ml,0,9,7,2
Baby Care Khan Uot Khong Mui Xanh 10T,1,9,12,0
Bella Flora BVS Ban Ngay Luoi Sieu Tham 10M,0,9,11,2
Betaloc Tab 50mg(H/3vi x 20vien),0,9,6,0
BIC 2 Blades 2cay/goi,0,9,11,0
BIC 3 Blades 2cay/goi,0,9,9,0
Biore Mieng Dan Lot Mun Nu Khong Huong 4M,1,9,10,0
C2 Tra Xanh Huong Chanh 500ml (Thung/24 Chai),1,9,12,0
Cap Nhiet Do Gold,1,9,9,0
Cationorm 0.4 ml ( 30 Ong/ Hop),0,9,130,200
CC Lemon Nuoc Vitamin 390ml (Thung/24 Chai),1,9,9,0
CG210 Women 80ml B/1,0,9,12,2
Clarityne Syr 60ml,0,9,10,0
Coldfed (10Vi x 10Vien),0,9,156,144
CONS Bidanmi Mat Na Duong Da Aqua Essential 25g,0,9,7,26
CONS Microlife Nhiet Ke Dien Tu MT550,0,9,9,2
Cortonyl,0,9,11,2
Dabo Sua Tam Cao Cap Min Da Cherry Blossom750ml,0,9,9,4
Dentgitan 3ml,0,9,10,1
Deslornine,1,9,30,0
Diep Ha Chau chai - Nadyphar,0,9,9,2
Diurefar 40mg (10Vi x 12Vien),0,9,52,68
Doncef 500mg (3Vi x 10Vien),0,9,39,81
Dove XBC Trang 100g,0,9,16,10
Enchanteur XKM Romantic 150ml,0,9,9,3
Enchantuer LKM Romantic Hong 50ml,0,9,9,7
Enchantuer Sap KM Charming Vang 40g,0,9,9,3
Fami Sua Dau Nanh Canxi 200ml (Thung/ 40 Bich),1,9,22,0
Fanta Viet Quat Lon Cao 330ml (Thung/24Lon),0,9,13,9
Flexidron 60 Glomed (3Vi x 10Vien),1,9,64,116
Gatsby Wax Toc 2015 - H&F Xanh 25g (Loc/6 Hu),0,9,9,9
Gatsby Wax Toc 2015 - U&S Tim 25g (Loc/6 Hu),0,9,9,11
Gillette Luoi dao cao Mach3 2(10.12),0,9,11,4
Gloverin 40mg (3 Vi x10 Vien),0,9,53,37
Green Cross Kids Huong Trai Cay 100ml,0,9,9,6
Green Cross Xit RT Tuoi Mat - Fresh 70ml,0,9,10,4
Griseofulvin 500mg (2Vi x 10Vien),0,9,69,11
Herbesser R 100 Cap 100mg,0,9,123,177
Hoat huyet duong nao - Phuc Vinh ( bao duong),0,9,900,200
Ich Nhi Siro Ho Cam Nam Duoc 90ml,0,9,9,7
Johnson Baby Sua Tam Em Be Baby Bath 100ml,0,9,9,1
Kelosil Silicone Scar Gel 10g,1,9,9,0
Koh-Kae Dau Phong Vi Dua 19g (Thung/144 Goi),0,9,12,5
Lifebuoy ST Thien Nhien 250g,0,9,9,
Lifebuoy ST Thien Nhien 850g,0,9,9,3
Lipice Sheer Color Son Duong Moi Hong Cam Orangy 2g,0,9,9,3
Loreal Mascara Dai& Cong Mi Miss Manga 3ml,0,9,9,1
Masculan BCS Long Pleasure (H/10 Cai),0,9,10,6
Masculan BCS Pur (H/3 Cai),0,9,9,7
Niva Tam Bong AJC2  (Hop/ 200 Que),0,9,9,5
Nivea LKM Nu Trang Min Tu Nhien 50ml,0,9,9,8
Olay ST Moisture Luscious 532ml *6 chai/thung,0,9,9,2
Omega 3 Fish oil 1000mg Pharmekal,0,9,9,0
Oral-B BCDR Tre Em Stages 2(2-4 tuoi)(10.13),1,9,9,0
Oxy SRM Da Ta Dong Multi Action 100g,0,9,9,3
Oxy SRM Perfect Wash 100g,0,9,9,2
Pantene DG Classic Clean 2in1 375ml*6chai/thung,0,9,9,2
Pantene DG NRT 6Gx60(8.15),0,9,54,16
PH Care DDVS Phu Nu  Lily Diu Nhe (Fresh Blossom) 60ml,0,9,9,1
Phenergan siro 90ml,0,9,9,
Poca Nutz Snack Cheese 18g,0,9,12,16
Pond 's Gel RM Ngoc Trai 100g,0,9,9,2
Pond 's Gel RM Ngoc Trai 50g,0,9,9,0
Pond's SRM Trang Da Cao Cap 100g,0,9,9,0
Pringles Khoai Tay Chien Original 150g,0,9,9,2
Purite By Provence ST Hoa Anh Dao 500ml,1,9,9,1
Sac Ngoc Khang Kem Duong Da 10g,0,9,9,1
Sac Ngoc Khang Kem Duong Da 30g,0,9,9,2
Sancoba Eye Drops 5Ml,0,9,10,2
Sensodyne KDR Repair & Protect 75ml,0,9,11,4
Serviflox Tab 500mg,0,9,48,42
Singulair Sac 4mg,0,9,84,28
SnB Giay Uot Tinh Khiet LEC E161 80to/Goi,0,9,10,3
ST. IVES SRM Cam Chanh 170gr,0,9,9,2
Tobcol (Nho Mat),0,9,10,0
Tresemme DX Platinum Strength 170g,1,9,10,
Tyrosur Gel 5g,0,9,9,2
Uveblock Kem Chong Nang SPF50 Mau Nau,0,9,9,3
Vedette Mat Na Lot Nhe Dua Leo,1,9,10,0
"Ventolin Neb (N)Sol 5mg/2,5ml",0,9,61,29
Ventolin sugar free syrup,0,9,10,1
Vietnamobile 20 - Payoo,0,9,9,4
Viettel 200 - Payoo,0,9,10,4
Vitamin B1 50mg MKP (Chai/100 vien),0,9,1000,100
X Men LKM For Boss 50ml,0,9,9,0
Xuan An Yen Mach 400g (Thung/24 bich),0,9,9,2
Zitromax Pos Sus 200mg/5ml 15ml,0,9,9,1
Abbott Glucerna 400g,0,8,9,2
Apitim 5mg,0,8,24,0
Asahi Keo Ngam Mintia Tra Xanh 7g (Goi/10 Hop),0,8,12,4
Baby Care Khan Uot Mui Phan Do 10T,1,8,8,2
Bao Xuan Gold,0,8,12,2
Be Ho MKP (Hop/24 goi),0,8,40,8
Betaloc ZOK 50mg,0,8,84,0
Binh xit chong muoi Chicco 100ml,0,8,8,
Biore SRM Sach Nhon 50g,0,8,10,5
Bisoprolol 5mg - Stada,1,8,12,0
Boni Smok 250ml - BOTANIA,0,8,6,2
Carbotrim (10vi x 8vien) - Pharmedic,0,8,78,3
Close Up Kem Danh Rang Loc Xoay Gel Do 140g,0,8,8,7
CONS Bidanmi Mat Na Duong Da Herb Essential 25g,0,8,8,22
CONS Bidanmi Mat Na Duong Da Red Ginseng 25g,0,8,17,19
CONS Bidanmi Mat Na Duong Da Rose Whitening 25g,0,8,10,32
CONS Davita Bone Plus DHG (Hop/3vi/30vien),0,8,110,40
CONS Microlife Nhiet Ke But 4 Mau Do Nhanh 16K1,0,8,8,2
CONS Suansu SRM gao & sua tuoi 60ml,1,8,8,0
CONS Toshiba Pin Nhi 3A R03UG BP-2TGTE V 2 vien/vi,0,8,8,5
Cool Air Gum Bac Ha (Vi/10 Vien),1,8,12,0
Cream-O Banh QuyBrown Choco 85g*24cay/thung,1,8,9,
Dabo SRM Than Hoat Tinh 150ml,0,8,8,3
Dabo Sua Tam Cao Cap Duong Am Shea Butter 750ml,0,8,8,2
Dau Cu La Eagle Brand 20g,1,8,28,0
Dau Nong Mat Troi,0,8,10,3
Dermal Mat Na TC Collagen -Hong Sam,1,8,8,0
Dial NRT Pump Aloe 221ml*12chai/thung,1,8,7,
Dial ST Lavender & Twillight 473ml*6 chai/thung,0,8,8,3
DOVE DG LP Tinh dau 650G,1,8,8,2
DOVE Xit khu mui Cucumber 100g,0,8,7,8
Enchantuer LKM Magic Xanh 20ml,0,8,8,7
Enchantuer ST Charming Vang 180g,0,8,8,2
Energizer Pin AA Max E91 BP2,1,8,8,0
Eucerin Ph5 Lotion -63028-250ml V3,0,8,8,2
Fruiser NRT Aloe Vera 500ml,0,8,8,4
Fruiser ST Sua De UV White 1000ml,0,8,8,2
Green Cross Gel RT - Fresh 100ml,0,8,8,4
Green Cross Kids Huong Cam 100ml,0,8,8,6
Green Cross RT Huong tu nhien - Fresh 250ml,0,8,9,3
Hapacol Codein (10 vi x 10 vien/ Hop),0,8,32,168
Herbal Essences ST Honey I Smell Good 467ml*6chai/thung,1,8,8,4
Hirudoid cream 14g,0,8,6,0
Johnson Baby ST PH 5.5 2in1 Hanh Nhan 750ml,0,8,8,4
Johnson Baby Sua Tam Em Be Baby Bath 200ml,0,8,8,3
Jordan BCDR tre em Buddy 1-4 tuoi,1,8,8,0
Klamentin 500mg,1,8,48,0
LODIUM,1,8,159,41
Loreal  White Perfect Bo Doi SRM + Kem Ngay 50ml,1,8,8,4
MBL BB Stock Kem Trang Diem -Natuarl 10g,1,8,8,12
MBL Kem CC White Super Fresh 18 ML,0,8,8,8
MBL LIP SM COLORBLOOM BLISTER PEACH,0,8,8,2
MBL VOL EXPRESS CURL WP VERY BLACK RENO,0,8,8,16
Motiridon Siro (30ml),1,8,6,0
Mydocalm 150mg,0,8,79,41
Nivea LKM Nu Trang Da Whitening 25ml,0,8,8,7
Nivea SRM Nam Hat Massage Giam Nhon 100g,0,8,8,5
Nivea SRM Nu Tay Trang Ngua Mun 50g,1,8,8,0
Nivea SRM Nu Trang Da Kiem Soat Nhon,0,8,9,2
Nivea XKM Ngoc Trai 150ml,0,8,8,5
Nivea XKM Nu Xoa Mo Vet Tham Bao Ve 48h 150ml,0,8,8,6
Nutroplex 120ml,0,8,8,0
Oishi Snack Bap Non Vi Pho Mai 45g/25,0,8,8,2
Orafar,0,8,9,2
Oral-B BCDR Tre Em Stage1(4-24th)x96(10.14),1,8,7,0
P/S KDR Chuyen Gia Giam E Buot Trang Rang 100g,0,8,9,7
Paseo Khan Giay An Cocktail Paseo 50 To 2 Lop,0,8,9,8
PH Care DDVS Phu Nu  Lily Diu Nhe (Fresh Blossom) 150ml,0,8,9,4
Physiogel DMT Dermo-Cleanser 150ml,0,8,9,1
PMS - Imecystine 200mg (10vi x 10vien),1,8,32,0
Pond's Kem Duong Trang Hong Tinh Khiet Ngay 30g,0,8,8,6
Pulppy Khan Giay Bo Tui (Thung/100loc/10goi),1,8,20,
Purite By Provence ST Hat Massage Hoa Hong 500ml,1,8,8,1
Purite By Provence ST Hoa Anh Dao 850ml,1,8,8,0
Rejoice DG Sieu Muot 320g,0,8,8,5
